"title","organism","cell_line","pert_id","pert_iname","pert_dose","pert_dose_unit","pert_idose","pert_time","pert_time_unit","pert_itime","pert_type","category","project_id","replicate_id","project_plate_id_384well","strain_id","molecule","single_or_paired_end","instrument_model","processed_data_file_count","processed_data_file_zscore","raw_file1_combined","raw_file2_combined"
"MOC_1430:ami:4.50000uM:90min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","ami","Amikacin",4.5,"uM","4.50000uM",90,"min","90min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T90_ami_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T90_ami_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:ami:4.50000uM:90min:PA14:MOC_1430_1:r3","UCBPP-PA14","PA14","ami","Amikacin",4.5,"uM","4.50000uM",90,"min","90min","poscon","reference_set","MOC_1430","r3","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T90_ami_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T90_ami_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:carb:600.00000uM:120min:PA14:MOC_1430_1:r1","UCBPP-PA14","PA14","carb","Carbenicillin",600,"uM","600.00000uM",120,"min","120min","poscon","reference_set","MOC_1430","r1","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T120_carb_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T120_carb_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:carb:600.00000uM:120min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","carb","Carbenicillin",600,"uM","600.00000uM",120,"min","120min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T120_carb_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T120_carb_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:carb:600.00000uM:120min:PA14:MOC_1430_1:r3","UCBPP-PA14","PA14","carb","Carbenicillin",600,"uM","600.00000uM",120,"min","120min","poscon","reference_set","MOC_1430","r3","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T120_carb_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T120_carb_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:carb:600.00000uM:30min:PA14:MOC_1430_1:r1","UCBPP-PA14","PA14","carb","Carbenicillin",600,"uM","600.00000uM",30,"min","30min","poscon","reference_set","MOC_1430","r1","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T30_carb_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T30_carb_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:carb:600.00000uM:30min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","carb","Carbenicillin",600,"uM","600.00000uM",30,"min","30min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T30_carb_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T30_carb_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:carb:600.00000uM:30min:PA14:MOC_1430_1:r3","UCBPP-PA14","PA14","carb","Carbenicillin",600,"uM","600.00000uM",30,"min","30min","poscon","reference_set","MOC_1430","r3","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T30_carb_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T30_carb_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:carb:600.00000uM:60min:PA14:MOC_1430_1:r1","UCBPP-PA14","PA14","carb","Carbenicillin",600,"uM","600.00000uM",60,"min","60min","poscon","reference_set","MOC_1430","r1","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T60_carb_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T60_carb_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:carb:600.00000uM:60min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","carb","Carbenicillin",600,"uM","600.00000uM",60,"min","60min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T60_carb_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T60_carb_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:carb:600.00000uM:60min:PA14:MOC_1430_1:r3","UCBPP-PA14","PA14","carb","Carbenicillin",600,"uM","600.00000uM",60,"min","60min","poscon","reference_set","MOC_1430","r3","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T60_carb_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T60_carb_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:carb:600.00000uM:90min:PA14:MOC_1430_1:r1","UCBPP-PA14","PA14","carb","Carbenicillin",600,"uM","600.00000uM",90,"min","90min","poscon","reference_set","MOC_1430","r1","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T90_carb_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T90_carb_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:carb:600.00000uM:90min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","carb","Carbenicillin",600,"uM","600.00000uM",90,"min","90min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T90_carb_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T90_carb_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:carb:600.00000uM:90min:PA14:MOC_1430_1:r3","UCBPP-PA14","PA14","carb","Carbenicillin",600,"uM","600.00000uM",90,"min","90min","poscon","reference_set","MOC_1430","r3","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T90_carb_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T90_carb_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:ceftaz:24.00000uM:120min:PA14:MOC_1430_1:r1","UCBPP-PA14","PA14","ceftaz","Ceftazidime",24,"uM","24.00000uM",120,"min","120min","poscon","reference_set","MOC_1430","r1","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T120_ceftaz_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T120_ceftaz_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:ceftaz:24.00000uM:120min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","ceftaz","Ceftazidime",24,"uM","24.00000uM",120,"min","120min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T120_ceftaz_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T120_ceftaz_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:ceftaz:24.00000uM:120min:PA14:MOC_1430_1:r3","UCBPP-PA14","PA14","ceftaz","Ceftazidime",24,"uM","24.00000uM",120,"min","120min","poscon","reference_set","MOC_1430","r3","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T120_ceftaz_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T120_ceftaz_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:ceftaz:24.00000uM:90min:PA14:MOC_1430_1:r1","UCBPP-PA14","PA14","ceftaz","Ceftazidime",24,"uM","24.00000uM",90,"min","90min","poscon","reference_set","MOC_1430","r1","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T90_ceftaz_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T90_ceftaz_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:ceftaz:24.00000uM:90min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","ceftaz","Ceftazidime",24,"uM","24.00000uM",90,"min","90min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T90_ceftaz_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T90_ceftaz_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:ceftaz:24.00000uM:90min:PA14:MOC_1430_1:r3","UCBPP-PA14","PA14","ceftaz","Ceftazidime",24,"uM","24.00000uM",90,"min","90min","poscon","reference_set","MOC_1430","r3","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T90_ceftaz_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T90_ceftaz_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:cip:0.75000uM:120min:PA14:MOC_1430_1:r1","UCBPP-PA14","PA14","cip","Ciprofloxacin",0.75,"uM","0.75000uM",120,"min","120min","poscon","reference_set","MOC_1430","r1","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T120_cip_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T120_cip_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:cip:0.75000uM:120min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","cip","Ciprofloxacin",0.75,"uM","0.75000uM",120,"min","120min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T120_cip_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T120_cip_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:cip:0.75000uM:120min:PA14:MOC_1430_1:r3","UCBPP-PA14","PA14","cip","Ciprofloxacin",0.75,"uM","0.75000uM",120,"min","120min","poscon","reference_set","MOC_1430","r3","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T120_cip_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T120_cip_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:cip:0.75000uM:30min:PA14:MOC_1430_1:r1","UCBPP-PA14","PA14","cip","Ciprofloxacin",0.75,"uM","0.75000uM",30,"min","30min","poscon","reference_set","MOC_1430","r1","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T30_cip_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T30_cip_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:cip:0.75000uM:30min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","cip","Ciprofloxacin",0.75,"uM","0.75000uM",30,"min","30min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T30_cip_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T30_cip_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:cip:0.75000uM:30min:PA14:MOC_1430_1:r3","UCBPP-PA14","PA14","cip","Ciprofloxacin",0.75,"uM","0.75000uM",30,"min","30min","poscon","reference_set","MOC_1430","r3","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T30_cip_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T30_cip_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:cip:0.75000uM:60min:PA14:MOC_1430_1:r1","UCBPP-PA14","PA14","cip","Ciprofloxacin",0.75,"uM","0.75000uM",60,"min","60min","poscon","reference_set","MOC_1430","r1","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T60_cip_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T60_cip_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:cip:0.75000uM:60min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","cip","Ciprofloxacin",0.75,"uM","0.75000uM",60,"min","60min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T60_cip_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T60_cip_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:cip:0.75000uM:60min:PA14:MOC_1430_1:r3","UCBPP-PA14","PA14","cip","Ciprofloxacin",0.75,"uM","0.75000uM",60,"min","60min","poscon","reference_set","MOC_1430","r3","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T60_cip_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T60_cip_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:cip:0.75000uM:90min:PA14:MOC_1430_1:r1","UCBPP-PA14","PA14","cip","Ciprofloxacin",0.75,"uM","0.75000uM",90,"min","90min","poscon","reference_set","MOC_1430","r1","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T90_cip_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T90_cip_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:cip:0.75000uM:90min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","cip","Ciprofloxacin",0.75,"uM","0.75000uM",90,"min","90min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T90_cip_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T90_cip_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:cip:0.75000uM:90min:PA14:MOC_1430_1:r3","UCBPP-PA14","PA14","cip","Ciprofloxacin",0.75,"uM","0.75000uM",90,"min","90min","poscon","reference_set","MOC_1430","r3","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T90_cip_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T90_cip_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:clari:300.00000uM:120min:PA14:MOC_1430_1:r1","UCBPP-PA14","PA14","clari","Clarithromycin",300,"uM","300.00000uM",120,"min","120min","poscon","reference_set","MOC_1430","r1","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T120_clari_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T120_clari_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:clari:300.00000uM:120min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","clari","Clarithromycin",300,"uM","300.00000uM",120,"min","120min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T120_clari_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T120_clari_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:clari:300.00000uM:120min:PA14:MOC_1430_1:r3","UCBPP-PA14","PA14","clari","Clarithromycin",300,"uM","300.00000uM",120,"min","120min","poscon","reference_set","MOC_1430","r3","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T120_clari_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T120_clari_3_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:clari:300.00000uM:30min:PA14:MOC_1430_1:r1","UCBPP-PA14","PA14","clari","Clarithromycin",300,"uM","300.00000uM",30,"min","30min","poscon","reference_set","MOC_1430","r1","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T30_clari_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T30_clari_1_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
"MOC_1430:clari:300.00000uM:30min:PA14:MOC_1430_1:r2","UCBPP-PA14","PA14","clari","Clarithromycin",300,"uM","300.00000uM",30,"min","30min","poscon","reference_set","MOC_1430","r2","MOC_1430_1","PA14","total RNA","paired end","Novaseq 6000","moc1430_1779_0066_0110_2kd_counts_manuscript.csv","moc1430_1779_0066_0110_2kd_modzscore_ref_set.csv","T30_clari_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.1.fastq.gz","T30_clari_2_Pseudomonas_aeruginosa_UCBPP-PA14_pe.2.fastq.gz"
